idPk;code;name;description;observations;image1;image2;image3;visibility;isProduct;onDateUpdated;onDateCreated;daysToOperations;typeDeficiency;age;sex;isForPregnant;isApproved;isChecked;organizationsIdFk;isDeleted
77;"No brinda información";": Artes Industriales";"Atención educativa de estudiantes en condición de discapacidad para su desarrollo integral e inclusión en el ámbito educativo y comunitario.";"No hay.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Discapacidad Cognitiva (Sindrome de Down, Retardo Mental, otros similares), Problemas Emocionales y de la Conducta (Autismo, otros similares), Discapacidad Múltiple (Parálisis Cerebral, otros similares). ";{};2;1;1;1;75;0
78;"No brinda información";": Psicología";"Atención educativa de estudiantes en condición de discapacidad para su desarrollo integral e inclusión en el ámbito educativo y comunitario.";"No hay.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Discapacidad Cognitiva (Sindrome de Down, Retardo Mental, otros similares), Problemas Emocionales y de la Conducta (Autismo, otros similares), Discapacidad Múltiple (Parálisis Cerebral, otros similares). ";{};2;1;1;1;75;0
79;"No brinda información";": Educación Especial";"Atención educativa de estudiantes en condición de discapacidad para su desarrollo integral e inclusión en el ámbito educativo y comunitario.";"No hay.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Discapacidad Cognitiva (Sindrome de Down, Retardo Mental, otros similares), Problemas Emocionales y de la Conducta (Autismo, otros similares), Discapacidad Múltiple (Parálisis Cerebral, otros similares). ";{};2;1;1;1;75;0
80;"No brinda información";"Serv. Apoyo Económico";"Dar calidad de vida a las personas con discapacidad del Cantón de Poás.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Cualquiera. ";{};2;1;1;1;12;0
81;"No brinda información";"Taller Ebanistería";"Ofrecer acciones que conduzcan al desarrollo de las habilidades sociales, cognitivas y psicomotrices, procurando independencia personal y la inserción laboral.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" El usuario debe tener retardo mental certificado en dictamen médico. Luego se aplica protocolo de ingreso para evaluar las capacidades del usuario. ";{};2;1;1;1;76;0
82;"No brinda información";"Serv. Asesoría Legal";"No disponible.";"Hay actualmente 12 asosiados (7 hombres 5 mujeres), los cuales asesoran a la población no vidente.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" No vidente principalmente. ";{};2;1;1;1;77;0
83;"No brinda información";"Apoyo Económico a las asociaciones vinculadas con el Tema de Discapacidad.";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Cualquiera ";{};2;1;1;1;78;0
84;"No brinda información";"Servicios Educativos";"Ser una asociación que busca mejorar la calidad de vida de los asociados.";"Se trabaja todo el año lectivo según el plan del MEP, y se dan a los grupos herramientas de trabajo acuerdo a la capacidad de motora fina.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Motora o Intelectual, dependerá del análisis de la epicrisis para saber si podrá participar en la asociación. ";{};2;1;1;1;79;0
85;"No brinda información";"Servicios educativos.";"Brindar servicios de evaluación integral e interdisciplinaria para una adecuada orientación de la persona con discapacidad, aSi como a su familia. (Objetivo 1,2) Difundir las actividades y programas de la Asociación de manera que se visualice la necesidad de inclusión de las personas con discapacidad en cada ámbito. (Objetivo 6) Contar con los servicios formales o regulares de una persona profesional en medicina y otra en nutrición con un tiempo por semana proporcional al número de personas con discapacidad atendidos en el centro. Con el fin de garantizar la buena salud y nutrición de los participantes. (Objetivo 1, 4, 9 ) Contar con el siguiente personal básico de acuerdo al número de beneficiados: un profesional en el área de Psicología, en Terapia Ocupacional y en Terapia Física. (Objetivo 2, 3, 4,5) Hacer actividades para contar con un vehículo para el traslado de las personas beneficiarias con el fin de realizar actividades (paseos, visitas, etc.) que promuevan la integración y autonomía de las personas con discapacidad. (Objetivo 5,6.)";"Actualmente tienen 25 beneficiarios (hombres y mujeres), todos mayores de edad. El servicio principal que brinda la ONG es ser un centro diurno de atención integral, los usuarios reciben artes industriales, manualidades y espacios recreativos para mejorar su independencia. Algunos de los usuarios provienen de albergues estatales, y otros son personas que no pertenecen a ningún albergue a estos el centro les aplica un protocolo de ingreso y se valora si puede entrar o no, luego se inicia un periodo de prueba de tres meses. Actualmente existen 2 docentes, uno de terapeuta ocupacional y artes industriales y otro de educación física. Entre los talleres que se brindan están: taller de piscina taller de baile taller de tarjeterias elaboración abono orgánico reciclaje taller de teatro";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Motora o Intelectual ";{};2;1;1;1;80;0
86;"No brinda información";"Centro Diurno de Atención Integral";"Brindar servicios de evaluación integral e interdisciplinaria para una adecuada orientación de la persona con discapacidad, aSi como a su familia. (Objetivo 1,2) Difundir las actividades y programas de la Asociación de manera que se visualice la necesidad de inclusión de las personas con discapacidad en cada ámbito. (Objetivo 6) Contar con los servicios formales o regulares de una persona profesional en medicina y otra en nutrición con un tiempo por semana proporcional al número de personas con discapacidad atendidos en el centro. Con el fin de garantizar la buena salud y nutrición de los participantes. (Objetivo 1, 4, 9 ) Contar con el siguiente personal básico de acuerdo al número de beneficiados: un profesional en el área de Psicología, en Terapia Ocupacional y en Terapia Física. (Objetivo 2, 3, 4,5) Hacer actividades para contar con un vehículo para el traslado de las personas beneficiarias con el fin de realizar actividades (paseos, visitas, etc.) que promuevan la integración y autonomía de las personas con discapacidad. (Objetivo 5,6.)";"Actualmente tienen 25 beneficiarios (hombres y mujeres), todos mayores de edad. El servicio principal que brinda la ONG es ser un centro diurno de atención integral, los usuarios reciben artes industriales, manualidades y espacios recreativos para mejorar su independencia. Algunos de los usuarios provienen de albergues estatales, y otros son personas que no pertenecen a ningún albergue a estos el centro les aplica un protocolo de ingreso y se valora si puede entrar o no, luego se inicia un periodo de prueba de tres meses.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Motora o Intelectual ";{};2;1;1;1;80;0
87;"No brinda información";"Servicios ocupacionales.";"Brindar servicios de evaluación integral e interdisciplinaria para una adecuada orientación de la persona con discapacidad, aSi como a su familia. (Objetivo 1,2) Difundir las actividades y programas de la Asociación de manera que se visualice la necesidad de inclusión de las personas con discapacidad en cada ámbito. (Objetivo 6) Contar con los servicios formales o regulares de una persona profesional en medicina y otra en nutrición con un tiempo por semana proporcional al número de personas con discapacidad atendidos en el centro. Con el fin de garantizar la buena salud y nutrición de los participantes. (Objetivo 1, 4, 9 ) Contar con el siguiente personal básico de acuerdo al número de beneficiados: un profesional en el área de Psicología, en Terapia Ocupacional y en Terapia Física. (Objetivo 2, 3, 4,5) Hacer actividades para contar con un vehículo para el traslado de las personas beneficiarias con el fin de realizar actividades (paseos, visitas, etc.) que promuevan la integración y autonomía de las personas con discapacidad. (Objetivo 5,6.)";"Actualmente tienen 25 beneficiarios (hombres y mujeres), todos mayores de edad. El servicio principal que brinda la ONG es ser un centro diurno de atención integral, los usuarios reciben artes industriales, manualidades y espacios recreativos para mejorar su independencia. Algunos de los usuarios provienen de albergues estatales, y otros son personas que no pertenecen a ningún albergue a estos el centro les aplica un protocolo de ingreso y se valora si puede entrar o no, luego se inicia un periodo de prueba de tres meses. Actualmente existen 2 docentes, uno de terapeuta ocupacional y artes industriales y otro de educación física. Entre los talleres que se brindan están: taller de piscina taller de baile taller de tarjeterias elaboración abono orgánico reciclaje taller de teatro";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Motora o Intelectual ";{};2;1;1;1;80;0
88;"No brinda información";"Ser. alquiler camas ortopedicas";"Buscar y Proveer de equipo técnico a las personas que lo ocupen.";"La asoc. se sostiene económicamente por medio de donaciones de empresarios, donaciones del estado y rifas que se organizan para recolectar fondos, los equipos que se compran se hace por medio de estos dineros o bien cuando la JPS o empresarios donan sillas de ruedas, camas, sillas de baño u otro equipo en particular.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Distrofia muscular. ";{};2;1;1;1;4;0
89;"No brinda información";"Serv. Ocupacionales de Recreo";"Promover el desarrollo, actualización e intereses comunes de los integrantes del grupo de percusión inclusión, asegurando el profesionalismo y la ética, ayudando de esta manera al mejor desarrollo de las personas con necesidades especiales y regulares dentro de la sociedad. Instruir a personas con necesidades especiales y alumnos regulares mayores de edad, logrando las relaciones interpersonales, artísticos, educativos, deportivos. recreativos y culturales.";"Fundada en el año 2009 (8 años de funcionamiento). La organización recibe ayuda económica de la municipalidad, además hacen rifas y ventas para crear sus propios fondos. Actualmente tiene 36 personas beneficiarias de 20 años en adelante, hombres y mujeres con discapacidad intelectual, sensorial y física. Tiene 10 persona voluntarias que apoyan en diferentes áreas, incluido un abogado y un estudiante en informática.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:03;2018-01-30 11:31:03;" Dependerá de la epicrisis, se hace una valoración para ver si la persona puede formar parte de la asociación. ";{};2;1;1;1;81;0
