idPk;isPrivate;cost;objectives;reaches;specificSupports;typeSupports;daysToOperations;responsabilityPerson;cover;requirements;accesibility;others;scheduleExtraordinary;otherExtraordinaryAttention;attentionFrecuency;Items_idPk
36;0;"No brinda información.";"brindar servicios de apoyo educativo a los estudiantes de esta escuela, para que puedan salir adelante";"Enseñar y educar a los niños con discapacidad de este centro con métodos que ellos puedan asimilar más fácil por su discapacidad.";"Terapia de Lenguaje";"Individuales y grupales";{};"Ocupación: Profesores de educación especial Formación académica: Licenciados Experiencia: más de 6 años Otras destrezas:";"Cartago";"Matricularse en en centro educativo y presentar dictamen médico del hospital.";"si es accesible.";"No brinda información.";0;"-";"-Diario";36
37;0;"No brinda información.";"brindar servicios de apoyo educativo a los estudiantes de esta escuela, para que puedan salir adelante";"Enseñar y educar a los niños con discapacidad de este centro con métodos que ellos puedan asimilar más fácil por su discapacidad.";"Estimulación Temprana";"Individuales y grupales";{};"Ocupación: Profesores de educación especial Formación académica: Licenciados Experiencia: más de 6 años Otras destrezas:";"Cartago";"Matricularse en en centro educativo y presentar dictamen médico del hospital.";"si es accesible.";"No brinda información.";0;"-";"-Diario";37
38;0;"No brinda información.";"brindar servicios de apoyo educativo a los estudiantes de esta escuela, para que puedan salir adelante";"Enseñar y educar a los niños con discapacidad de este centro con métodos que ellos puedan asimilar más fácil por su discapacidad.";"Enseñanza de lesco";"Grupales";{};"Ocupación: Profesores de educación especial Formación académica: Licenciados Experiencia: más de 6 años Otras destrezas:";"Cartago";"Matricularse en en centro educativo y presentar dictamen médico del hospital.";"si es accesible.";"No brinda información.";0;"-";"-Diario";38
39;1;"De ¢15 mil a ¢30 mil El costo, depende del tratamiento que requiera el paciente";"Lograr que la persona usuaria del servicio, tenga mejor condición de salud y superar la situación que le afecta.";"Mediante el servicio de terapia física, dar atención pronta para la prevención de lesiones mayores a nivel articular, muscular o neurológico.";"Electroterapia, magnetoterapia, radiofrecuencia, terapia manual, ejercicios terapéuticos y correctivos. Rehabilitación preventiva para el equilibrio, fortalecimiento muscular, ortopédico, cervical, lumbar.";"Individuales";{};"Ocupación: Terapista Física Formación académica: Licenciada en Fisioterapia, incorporada el Colegio respectivo. Experiencia: Con 10 años de experiencia. Otras destrezas: Actualización y la experiencia adquirida en la Clínica. Otros de interés: No hay.";"Provincias: San José, Cartago Cantones: Curridabat, todos los Cantones de Cartago";"Requisitos: Puede acceder al servicio cualquier persona con discapacidad o necesidad de rehabilitación física. Solicitud del servicio Se valora la condición de la persona Dependiendo de la valoración, se solicita una referencia médica Se le sugiere el tipo de terapias a recibir. Si la persona acepta, inician las sesiones.";"Si cuentan con los accesos en las instalaciones y la prestación de servicios, necesarios de acuerdo a las normas de accesibilidad de la ley 7600 y el Ministerio de Salud.";"Servicio de atención personalizado en terapia física y rehabilitación a personas con y sin discapacidad, para mejorar su condición de salud y calidad de vida";1;"- Redes Sociales Correo Electronico Servicio 24/7";"-Diario Semanal";39
40;1;"Cuota ¢20 mil por usuario";"Mejorar la calidad de vida a través de las manualidades.";"Enseñar una manualidad que permita generar independencia a la persona.";"No brinda información.";"Individuales";{};"Ocupación: Profesional Educación Profesional Formación académica: Bachiller en Educación Especial. Experiencia: 11 años en la asoc. Otras destrezas:";"Cartago";"Toda persona con discapacidad no comprometida o esquizofrenia, adulto y adulto mayor. Se aplica un protocolo de ingreso para valorar si puede formar parte del grupo de trabajo.";"Si reúne las condiciones.";"Actualmente hay 36 usuarios. Se brindan capacitaciones en Manualidades, Panadería y Agricultura Orgánica para generar posibles fuentes de autoempleo.";0;"-";"-Diario";40
41;0;"Gratuito";"Mejorar la manera de aprendizaje de los estudiantes con discapacidad de este centro educativo por medio de una adecuación curricular no significativa";"Brindar adecuación no significativa a estudiantes con discapacidad, para que les sea más fácil el aprendizaje y la atención brindada a ellos.";"Adecuación Curricular No significativa";"Individuales";{};"Ocupación: Educadores en enseñanza Formación académica: licenciados Experiencia: más de 10 años Otras destrezas:";"Cartago";"Ser estudiante del Colegio Universitario de Cartago. Presentar una epicrisis o dictamen que indique que tiene alguna discapacidad.";"Si, los reúne.";"No brinda información.";0;"-";"-Diario";41
42;0;"Gratuito";"Mejorar la manera de aprendizaje de los estudiantes con discapacidad de este centro educativo por medio de una apoyos didácticos de acuerdo a su discapacidad";"Brindar apoyos didácticos a estudiantes con discapacidad, para que les sea más fácil el aprendizaje y la atención brindada a ellos.";"apoyos didácticos";"Individuales";{};"Ocupación: Educadores en enseñanza Formación académica: licenciados Experiencia: más de 10 años Otras destrezas:";"Cartago";"Ser estudiante del Colegio Universitario de Cartago. Presentar una epicrisis o dictamen que indique que tiene alguna discapacidad.";"Si, los reúne.";"No brinda información.";0;"-";"-Diario";42
43;1;"¢15 mil por mes por usuario si no tienen beca y ¢30 mil por mes por usuario si tienen beca del estado.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi se genere independencia.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi se genere independencia.";"Manualidades, artes plásticas, artes industriales, educación especial.";"Individuales y grupales";{};"Ocupación: Terapueta Física. Formación académica: Lic. en Terapia Física. Experiencia: 10 años. Otras destrezas: Manejo y cuido de persona con necesidades especiales.";"Cartago";"Persona con discapacidad motriz, visual, intelectual no severa, cada uno debe traer una epicrisis, y luego los profesores aplican pruebas para ver si son aptos para poder trabajar con el grupo.";"Si poseen las condiciones.";"No brinda información.";0;"-";"-Diario";43
44;1;"¢15 mil por mes por usuario si no tienen beca y ¢30 mil por mes por usuario si tienen beca del estado.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi se genere independencia.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi se genere independencia.";"Manualidades, artes plásticas, artes industriales, educación especial, terapia ocupacional, terapia física.";"Individuales y grupales";{};"Ocupación: En este campo hay 3 personas trabajando: una Profesora Educación Especial, un Profesor de Artes industriales y una terapeuta física. Formación académica: Lic en Educación con énfasis en educación especial, el profesor de artes industriales es Bachiller en educación con énfasis en artes industriales y la Terapeuta Física la cual es Lic. Experiencia: 6 años la profesora educación especial, 5 años el profesor y 10 años la terapeuta. Otras destrezas: Educación especial, Manejo de personas con necesidades especiales.";"Cartago";"Persona con discapacidad motriz, visual, intelectual no severa, cada uno debe traer una epicrisis, y luego los profesores aplican pruebas para ver si son aptos para poder trabajar con el grupo.";"Si poseen las condiciones.";"No brinda información.";0;"-";"-Diario";44
45;1;"¢15 mil por mes por usuario si no tienen beca y ¢30 mil por mes por usuario si tienen beca del estado.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi se genere independencia.";"Mejorar la calidad de vida de nuestros asociados a través de la educación para que aSi se genere independencia.";"Manualidades, artes plásticas, artes industriales, educación especial.";"Individuales y grupales";{};"Ocupación: En este campo hay dos personas trabajando: una Profesora Educación Especial y un Profesor de Artes industriales. Formación académica: Lic en Educación con énfasis en educación especial y el profesor de artes industriales es Bachiller en educación con énfasis en artes industriales. Experiencia: 6 años la profesora y 5 años el profesor. Otras destrezas:";"Cartago";"Persona con discapacidad motriz, visual, intelectual no severa, cada uno debe traer una epicrisis, y luego los profesores aplican pruebas para ver si son aptos para poder trabajar con el grupo.";"Si poseen las condiciones.";"No brinda información.";0;"-";"-Diario";45
46;0;"No tiene";"Brindar apoyo por medio de donaciones económicas a las ONG´s para personas con discapacidad del cantón.";"Presupuesto para apoyar ONG’S que atienden personas con discapacidad en el Cantón.";"Serv. Apoyo económico.";"No brinda información.";{};"Ocupación: encargados departamento social. Formación académica: Lic. en Psicología.";"El cantón de Cartago";"Debe ser una ONG que pertenezca al cantón de Cartago, que se encuentre al día y que sea dirigida a las personas con discapacidad.";"Si cuenta con accesos.";"No brinda información.";0;"-";"-";46
47;1;"Mensualidad para ser socio: ¢2.200 x mes, y los cursos de manualidades van desde ¢5 mil por mes aproximadamente para materiales.";"Mejorar la calidad de vida a través del recreo y esparcimiento.";"Brindar manualidades para mejorar la calidad de vida.";"Manualidades diversas, se desarrollan varios proyectos por año.";"Individuales";{};"Ocupación: Asociado. Formación académica: Técnico. Experiencia: Manualidades varias. Otras destrezas:";"Cartago";"Lo único que se solicita la epicrisis y la cédula o documento de identificación válido.";"Si poseen las condiciones.";"No brinda información.";0;"-";"-Diario";47
48;1;"Cuota asociado mensual ¢15.500 (si el asociado requiere de una terapia adicional como Terapia de Física cobran ¢9.000 adicionales por mes).";"Mejorar el habla de la persona.";"Mejorar el habla de la persona.";"Terapia Lenguaje según severidad de la parálisis. Se enseña a los padres o familiares ejercicios especiales para que repitan en casa.";"Individuales";{};"Ocupación: Terapeuta de Lenguaje Formación académica: Lic. Terapia de Lenguaje Experiencia: 6 años de exp. Otras destrezas: No posee.";"Nacional";"Para cada paciente se le realiza una evaluación neuro-evolutiva, la cual indica sus niveles y porcentajes de discapacidad. Una vez comprobados los resultados y la necesidad de atención, se procede a solicitar ante la Junta Directiva, la incorporación del paciente a la Asociación; acompañado de un formulario de información general lleno, los documentos expedidos por los entes de salud y médicos y las fotocopias de identificación de él y de los encargados. Una vez conocidos los deberes y derechos, que como asociado corresponde, en caso de ser aprobada la solicitud por la Junta Directiva, se abre un expediente, con toda la documentación respectiva y se incorpora a un horario según corresponda para su atención, aportando una cuota mensual de ₡10.000 (colones), la cual cubre los derechos de los servicios y otros que se le ofrecen.";"Si poseen las condiciones.";"No brinda información.";0;"-";"-Diario";48
49;1;"Cuota asociado mensual ¢15.500 (si el asociado requiere de una terapia adicional como Terapia de Lenguaje se cobran ¢9.000 adicionales por mes).";"Mejorar la movilidad de la persona.";"Mejorar la movilidad de la persona.";"Terapia Física según severidad de la parálisis. Se enseña a los padres o familiares ejercicios especiales para que repitan en casa.";"Individuales";{};"Ocupación: Terapeuta Física Formación académica: Lic. Terapia Física Experiencia: 16 años de exp. Otras destrezas: No posee.";"Nacional";"Para cada paciente se le realiza una evaluación neuro-evolutiva, la cual indica sus niveles y porcentajes de discapacidad. Una vez comprobados los resultados y la necesidad de atención, se procede a solicitar ante la Junta Directiva, la incorporación del paciente a la Asociación; acompañado de un formulario de información general lleno, los documentos expedidos por los entes de salud y médicos y las fotocopias de identificación de él y de los encargados. Una vez conocidos los deberes y derechos, que como asociado corresponde, en caso de ser aprobada la solicitud por la Junta Directiva, se abre un expediente, con toda la documentación respectiva y se incorpora a un horario según corresponda para su atención, aportando una cuota mensual de ₡10.000 (colones), la cual cubre los derechos de los servicios y otros que se le ofrecen.";"Si poseen las condiciones.";"No brinda información.";0;"-";"-Diario";49
50;0;"Los usuarios pagan una cuota voluntaria, la cual se establece según estudio socioeconómico por cada usuario, esta cuota es para comprar materiales y alimentación (cuota voluntaria).";"Mejorar capacidades y habilidades blandas de las Personas con Discapacidad adultas de Paraíso a través de un CAIPAD, aSi como la administración de un programa de cuido, donde habitan personas con discapacidad, denominado Hogar Grupal.";"Brindar un servicio social y ocupacional a personas con discapacidad adultas, a través del Caipad, el cual se especializa en mejorar sus capacidades y habilidades blandas. Dar un lugar donde habitar la persona con discapacidad adulta en el Hogar Grupal, cuya administración es de la Asociación, lo demás es del CONAPDIS";"Educación especial, Terapia Física, Terapia Ocupacional y además se administra un Hogar grupal, en el cual viven algunos usuarios que han calificado por su alto nivel de independencia y capacidades.";"Individuales y grupales";{};"Ocupación: Profesora educación especial Formación académica: Lic. Educación Especial. Experiencia: Más de 5 años. Otras destrezas:";"Paraíso Cartago";"Con discapacidad motriz, intelectual no severa, visual, auditiva. Se realiza un protocolo de ingreso para analizar si el usuario podrá adaptarse al grupo.";"Si poseen.";"No brinda información.";0;"-";"-Diario";50
51;0;"Los usuarios pagan una cuota voluntaria, la cual se establece según estudio socioeconómico por cada usuario, esta cuota es para comprar materiales y alimentación (cuota voluntaria).";"Mejorar capacidades y habilidades blandas de las Personas con Discapacidad adultas de Paraíso a través de un CAIPAD, aSi como la administración de un programa de cuido, donde habitan personas con discapacidad, denominado Hogar Grupal.";"Brindar un servicio social y ocupacional a personas con discapacidad adultas, a través del Caipad, el cual se especializa en mejorar sus capacidades y habilidades blandas. Dar un lugar donde habitar la persona con discapacidad adulta en el Hogar Grupal, cuya administración es de la Asociación, lo demás es del CONAPDIS";"Educación especial, lecto-escritura, matemáticas básicas, educación para el hogar y educación física.";"Grupales";{};"Ocupación: Profesora educación especial Formación académica: Lic. Educación Especial. Experiencia: Más de 5 años. Otras destrezas: Hay 3 profesionales, uno en educación especial, una en educación para el hogar y otro prof. de educación física.";"Paraíso Cartago";"Con discapacidad motriz, intelectual no severa, visual, auditiva. Se realiza un protocolo de ingreso para analizar si el usuario podrá adaptarse al grupo.";"Si poseen.";"No brinda información.";0;"-";"-Diario";51
52;0;"Los usuarios pagan una cuota voluntaria, la cual se establece según estudio socioeconómico por cada usuario, esta cuota es para comprar materiales y alimentación (cuota voluntaria).";"Mejorar capacidades y habilidades blandas de las Personas con Discapacidad adultas de Paraíso a través de un CAIPAD, aSi como la administración de un programa de cuido, donde habitan personas con discapacidad, denominado Hogar Grupal.";"Brindar un servicio social y ocupacional a personas con discapacidad adultas, a través del Caipad, el cual se especializa en mejorar sus capacidades y habilidades blandas. Dar un lugar donde habitar la persona con discapacidad adulta en el Hogar Grupal, cuya administración es de la Asociación, lo demás es del CONAPDIS";"Actividades personalizadas, alto grado de conocimiento.";"Individuales y grupales";{};"Ocupación: Terapia Ocupacional Formación académica: Master Terapia Ocupacional. Experiencia: 5 años. Otras destrezas:";"Paraíso Cartago";"Con discapacidad motriz, intelectual no severa, visual, auditiva. Se realiza un protocolo de ingreso para analizar si el usuario podrá adaptarse al grupo.";"Si poseen.";"Estos profesionales, los paga el MEP a través del convenio que existe del CAIPAD.";0;"-";"-Diario";52
53;0;"Los usuarios pagan una cuota voluntaria, la cual se establece según estudio socioeconómico por cada usuario, esta cuota es para comprar materiales y alimentación (cuota voluntaria).";"Mejorar capacidades y habilidades blandas de las Personas con Discapacidad adultas de Paraíso a través de un CAIPAD, aSi como la administración de un programa de cuido, donde habitan personas con discapacidad, denominado Hogar Grupal.";"Brindar un servicio social y ocupacional a personas con discapacidad adultas, a través del Caipad, el cual se especializa en mejorar sus capacidades y habilidades blandas. Dar un lugar donde habitar la persona con discapacidad adulta en el Hogar Grupal, cuya administración es de la Asociación, lo demás es del CONAPDIS";"Gimnasio, ejercicio personales.";"Individuales y grupales";{};"Ocupación: Terapia Física Formación académica: Lic. Terapia Física. Experiencia: 4 años. Otras destrezas:";"Paraíso Cartago";"Con discapacidad motriz, intelectual no severa, visual, auditiva. Se realiza un protocolo de ingreso para analizar si el usuario podrá adaptarse al grupo.";"Si poseen.";"Estos profesionales, los paga el MEP a través del convenio que existe del CAIPAD.";0;"-";"-Diario";53
54;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en fisioterapia.";"Brindar servicios de fisioterapia por medio de consulta externa a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en fisioterapia.";"Fisioterapia en consulta externa";"Individuales";{};"Ocupación: Médicos fisioterapeutas Formación académica: Licenciados Experiencia: más de 10 años Otras destrezas:";"San Ramón";"Ser de la Zona de San Ramón, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";54
55;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en Audiometría.";"Brindar servicios de audiometría por medio de consulta externa a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en Audiometría.";"Audiometría en consulta externa";"Individuales";{};"Ocupación: Médicos especialistas en audiometría Formación académica: Doctores Experiencia: más de 10 años Otras destrezas:";"San Ramón";"Ser de la Zona de San Ramón, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";55
56;0;"No brinda información.";"Fortalecer habilidades y destrezas de las personas con discapacidad y educación especial.";"Fortalecer habilidades y destrezas de las personas con discapacidad y educación especial.";"Fortalecimiento de habilidades y destrezas, vida social, manejo del dinero, higiene del hogar, etc.";"Individuales y grupales";{};"Ocupación: Docente de Educación Especial / Administradora. Formación académica: Lic. Educación Especial Experiencia: 10 años. Otras destrezas:";"No brinda información.";"Ser vecino del cantón, ser mayor de 21 años, tener discapacidad relacionada con Retardo Mental o bien intelectual.";"Si poseen.";"No brinda información.";0;"-";"-Diario";56
57;0;"No brinda información.";"Fortalecer habilidades y destrezas de las personas con discapacidad y educación especial.";"Fortalecer habilidades y destrezas de las personas con discapacidad y educación especial.";"Atención de Personas Adultas con Discapacidad en Educación Especial, Terapia Ocupacional para el fortalecimiento de habilidades y destrezas, área económica.";"Individuales y grupales";{};"Ocupación: Docente de Educación Especial / Administradora. Formación académica: Lic. Educación Especial Experiencia: 10 años. Otras destrezas:";"No brinda información.";"Ser vecino del cantón, ser mayor de 21 años, tener discapacidad relacionada con Retardo Mental o bien intelectual.";"Si poseen.";"No brinda información.";0;"-";"-Diario";57
58;0;"No brinda información.";"Fortalecer habilidades y destrezas de las personas con discapacidad y educación especial.";"Fortalecer habilidades y destrezas de las personas con discapacidad y educación especial.";"Atención de Personas Adultas con Discapacidad en Educación Especial, para el fortalecimiento de habilidades y destrezas, área económica.";"Individuales y grupales";{};"Ocupación: Docente de Educación Especial / Administradora. Formación académica: Lic. Educación Especial Experiencia: 10 años. Otras destrezas: NOTA: El grupo está conformada por dos profesores en educación especial, Licenciados, con más de 10 años de experiencia cada uno, los cuales son pagados por el MEP, no obstante, hay un profesor de actividades culturales que es pagado por la Asoc, el cual da clases los martes y jueves de 8 am a 3 pm.";"No brinda información.";"Ser vecino del cantón, ser mayor de 21 años, tener discapacidad relacionada con Retardo Mental o bien intelectual.";"Si poseen.";"No brinda información.";0;"-";"-Diario";58
59;0;"Gratis";"Atención profesional.";"Brindar la posibilidad de mejora de calidad de vida de la PcD de la zona norte.";"Terapia Física y rehabilitación motora.";"Individuales";{};"Ocupación: Terapeuta Formación académica: Lic. Terapia Física Experiencia: 6 años Otras destrezas:";"San Carlos";"Ser vecina de la zona, tener una discapacidad o bien ser familiar de la persona.";"Si posee.";"Visitan a las personas con discapacidad en sus domicilios para dar el apoyo que requieren.";1;"- Servicio 24/7";"- Semanal";59
60;0;"Gratis";"Apoyo con Asesoría Legal y Defensa de los Derechos Humanos de las personas con discapacidad. Atención profesional interdisciplinaria.";"Brindar la posibilidad de mejora de calidad de vida de la PcD de la zona norte.";"Asesoría Legal y Defensa de los Derechos Humanos";"Individuales y grupales";{};"Ocupación: Abogado Formación académica: Lic. Abogado Experiencia: 4 años Otras destrezas: Derechos humanos";"San Carlos";"Ser vecina de la zona, tener una discapacidad o bien ser familiar de la persona.";"Si posee.";"No brinda información.";1;"- Servicio 24/7";"-Diario";60
61;0;"Gratis";"Brindar un servicio de calidad a las personas con discapacidad y sus familiares, promoviendo actividades para una mejor calidad de vida.";"Haber incrementado la igualdad de oportunidades a la población con discapacidad al resto de la población.";"Estimulación sensorial, aprendizaje de hidroponia, como hacer cosas con material reciclado (se trabaja en conjunto con el prof. artes industriales).";"Individuales";{};"Ocupación: Educador Formación académica: Lic. Educación con énfasis artes industriales Experiencia: 10 años. Otras destrezas:";"Upala";"Mayor de edad, presentar epicrisis o certificación del CONAPDIS.";"Si poseen las condiciones.";"Actualmente hay 57 beneficiarios.";0;"-";"-Diario";61
62;0;"Gratis";"Brindar un servicio de calidad a las personas con discapacidad y sus familiares, promoviendo actividades para una mejor calidad de vida.";"Haber incrementado la igualdad de oportunidades a la población con discapacidad al resto de la población.";"Atención de personas adultas con discapacidad con énfasis en educación, salud, ocupacional y recreación.";"Individuales";{};"Ocupación: Educadora con recargo directora Formación académica: Lic. Educación Especial Experiencia: 8 años Otras destrezas:";"Upala";"Mayor de edad, presentar epicrisis o certificación del CONAPDIS. SE aplica un protocolo de ingreso para saber si el usuario podrá adaptarse al grupo.";"Si poseen las condiciones.";"Actualmente hay 57 beneficiarios. Los usuarios pagan ¢2 mil colones por mes como cuotas voluntarias para mantenimiento del lugar.";0;"-";"-Diario";62
63;0;"Gratis";"Brindar un servicio de calidad a las personas con discapacidad y sus familiares, promoviendo actividades para una mejor calidad de vida.";"Haber incrementado la igualdad de oportunidades a la población con discapacidad al resto de la población.";"Gimnasio, entrenamiento personal, estimulación muscular.";"Individuales";{};"Ocupación: Terapeuta Formación académica: Lic. Terapia Física Experiencia: 8 años Otras destrezas:";"Upala";"Mayor de edad, presentar epicrisis o certificación del CONAPDIS. Se hace un protocolo de ingreso para saber si el usuario podrá adaptarse al grupo.";"Si poseen las condiciones.";"Actualmente hay 57 beneficiarios.";0;"-";"-Diario";63
64;0;"Gratis";"Brindar un servicio de calidad a las personas con discapacidad y sus familiares, promoviendo actividades para una mejor calidad de vida.";"Haber incrementado la igualdad de oportunidades a la población con discapacidad al resto de la población.";"Lecto escritura, matemáticas básicas, higiene del hogar y personal, estimulación sensorial, aprendizaje de hidroponia, como hacer cosas con material reciclado (se trabaja en conjunto con el prof. artes industriales).";"Individuales";{};"Ocupación: Educador Formación académica: Lic. Educación Especial Experiencia: 8 años. Otras destrezas:";"Upala";"Mayor de edad, presentar epicrisis o certificación del CONAPDIS. Se aplica un protocolo de ingreso para valorar si la persona puede pertenecer al grupo de trabajo, luego se aplica un periodo pos ingreso para evaluar su adaptación.";"Si poseen las condiciones.";"Actualmente hay 57 beneficiarios.";0;"-";"-Diario";64
65;0;"No brinda información.";"Atender curricularmente con talleres de capacitación a personas con discapacidad de Grecia.";"Atender curricularmente con talleres de capacitación a personas con discapacidad de Grecia.";"Educación especial curricular, educación física, artes plásticas, artes industriales.";"Individuales";{};"Ocupación: Educador Formación académica: Lic. Educación Especial Experiencia: Más de 5 años. Otras destrezas: Actualmente trabajan como un centro educativo del MEP, llamado Educación Abierta. Poseen 6 profesores, todos Licenciados, todos pagados por el MEP. Hay 2 educadores especiales, 1 profesor de informática, 1 profesor de educación física, 1 profesor de artes plásticas, 1 profesor artes industriales. No son CAIPAD aún.";"Grecia";"Ser mayor de 21 años, tener epicrisis certificada del CONAPDIS, ser vecino de la zona y aplicar a un protocolo de ingreso de entrevista personal a la familia y al usuario par saber si podrá formar parte del grupo.";"Si posee las condiciones.";"No brinda información.";0;"-";"- Semanal";65
66;1;"Gratis";"Permitir mejorar la calidad de vida de la persona con discapacidad.";"Ayudar a la persona en situación de riesgo social, vecina de Palmares.";"Ayudas económicas en efectivo o bien su equivalente en pañales, sueros, vitaminas, transporte.";"Individuales";{};"Ocupación: Comerciante Formación académica: Fiscal de la junta directiva de la ONG. Experiencia: Más de 7 años con la asoc. Otras destrezas:";"Palmares, Alajuela.";"Valoración Social: de familias y personas con discapacidad que requieren apoyo.";"Si posee las condiciones.";"No brinda información.";1;"-Página web Redes Sociales";"-Diario";66
67;1;"Gratis (en caso de ser préstamo) o bien alquilado por cuota voluntaria.";"Permitir mejorar la calidad de vida de la persona con discapacidad.";"Ayudar a la persona en situación de riesgo social, vecina de Palmares.";"Alquiler de sillas ruedas no ortopedicas.";"Individuales";{};"Ocupación: Comerciante Formación académica: Fiscal de la junta directiva de la ONG. Experiencia: Más de 7 años con la asoc. Otras destrezas:";"Palmares, Alajuela.";"Valoración Social: de familias y personas con discapacidad que requieren apoyo.";"Si posee las condiciones.";"No brinda información.";1;"-Página web Redes Sociales";"-Diario";67
68;1;"Gratis (en caso de ser préstamo) o bien alquilado por cuota voluntaria.";"Permitir mejorar la calidad de vida de la persona con discapacidad.";"Ayudar a la persona en situación de riesgo social, vecina de Palmares.";"Serv. Alquiler de Andaderas";"Individuales";{};"Ocupación: Comerciante Formación académica: Fiscal de la junta directiva de la ONG. Experiencia: Más de 7 años con la asoc. Otras destrezas:";"Palmares, Alajuela.";"Valoración Social: de familias y personas con discapacidad que requieren apoyo.";"Si posee las condiciones.";"No brinda información.";1;"-Página web Redes Sociales";"-Diario";68
69;1;"Gratis (en caso de ser préstamo) o bien alquilado por cuota voluntaria.";"Permitir mejorar la calidad de vida de la persona con discapacidad.";"Ayudar a la persona en situación de riesgo social, vecina de Palmares.";"Alquiler de Camas Hospitalarias, incluye el colchón impermeable.";"Individuales";{};"Ocupación: Comerciante Formación académica: Fiscal de la junta directiva de la ONG. Experiencia: Más de 7 años con la asoc. Otras destrezas:";"Palmares, Alajuela.";"Valoración Social: de familias y personas con discapacidad que requieren apoyo.";"Si posee las condiciones.";"No brinda información.";1;"-Página web Redes Sociales";"-Diario";69
70;1;"Gratis (en caso de ser préstamo) o bien alquilado por cuota voluntaria.";"Permitir mejorar la calidad de vida de la persona con discapacidad.";"Ayudar a la persona en situación de riesgo social, vecina de Palmares.";"Serv. Alquiler de Muletas";"Individuales";{};"Ocupación: Comerciante Formación académica: Fiscal de la junta directiva de la ONG. Experiencia: Más de 7 años con la asoc. Otras destrezas:";"Palmares, Alajuela.";"Valoración Social: de familias y personas con discapacidad que requieren apoyo.";"Si posee las condiciones.";"No brinda información.";1;"-Página web Redes Sociales";"-Diario";70
71;0;"aportan cuota voluntaria, 5000 colones";"Brindar terapia ocupacional a personas con discapacidad del Cantón de Palmares.";"Brindar terapia ocupacional a personas con discapacidad del Cantón de Palmares.";"Terapia Ocupacional, autonomía personal, higiene personal y del hogar, manejo del dinero.";"Grupales";{};"Ocupación: Terapia Ocupacional Formación académica: Lic. Terapia Ocupacional Experiencia: 3 años de experiencia. Otras destrezas:";"No brinda información.";"Ser vecino del cantón, presentar epicrisis y carta de solicitud de ingreso.";"Si cumple con las condiciones.";"Actualmente hay 40 personas beneficiarias en los talleres autonomía (terapia ocupacional).";0;"-";"-Diario";71
72;0;"No tiene";"Brindar terapia ocupacional a personas con discapacidad del Cantón de Palmares.";"Brindar terapia ocupacional a personas con discapacidad del Cantón de Palmares.";"Terapia Ocupacional, autonomía personal, higiene personal y del hogar, manejo del dinero.";"Grupales";{};"Ocupación: Administradora Formación académica: No Experiencia: 11 años Otras destrezas:";"Nacional";"Ser vecino del cantón, presentar epicrisis y carta de solicitud de ingreso. Declarado en completo abandono.";"Si cumple con las condiciones.";"Actualmente hay 9 personas beneficiarias.";0;"-";"-Diario";72
73;0;"No brinda información.";"Brindar servicios de Terapia Ocupacional a las personas adultas con discapacidad Intelectual.";"Ser un centro de atención para las personas adultas con alguna discapacidad intelectual que le pueda brindar terapia ocupacional para que ellos mejoren sus habilidades y destrezas.";"Terapia Ocupacional: Vida social, vida independiente, proyecto de artes para emprender. Se trabaja con talleres de cómo repostería entre otros.";"Grupales";{};"Ocupación: Administradora Formación académica: Lic. Terapeuta Ocupacional Experiencia: 30 años Otras destrezas:";"San José, Alajuela y Heredia";"Mayores de 21 años, presentar epicrisis y llevar una evaluación por el CAIPAD.";"Si los reúne.";"No brinda información.";0;"-";"-Diario";73
74;0;"Se cobra una cuota voluntaria, según la posibilidades de cada familia";"Brindar servicios de Terapia Ocupacional y de educación curricular a las personas adultas con discapacidad Intelectual.";"Ser un centro de atención para las personas adultas con alguna discapacidad intelectual que le pueda brindar terapia ocupacional para que ellos mejoren sus habilidades y destrezas.";"Académico curricular, objetivos del MEP, matemáticas básicas, leer y escribir, además Terapia Ocupacional.";"Grupales";{};"Ocupación: Administradora Formación académica: Lic. Terapeuta ocupacional Experiencia: 30 años Otras destrezas:";"San José, Alajuela y Heredia";"Mayores de 21 años, presentar epicrisis y llevar una evaluación por el CAIPAD.";"Si los reúne.";"No brinda información.";0;"-";"-Diario";74
